split,season,format,slot,seed,arm,realistic_points,points_above_adp
planner_selection,2015,standard,1,0,legal_adp,1388.22,0.0
planner_selection,2015,standard,1,0,point_in_time_planner,1359.52,-28.7
planner_selection,2015,standard,1,0,hindsight_marginal_oracle,1950.48,562.26
planner_selection,2015,standard,1,1,legal_adp,1317.02,0.0
planner_selection,2015,standard,1,1,point_in_time_planner,1371.34,54.32
planner_selection,2015,standard,1,1,hindsight_marginal_oracle,1950.48,633.46
planner_selection,2015,standard,1,2,legal_adp,1394.84,0.0
planner_selection,2015,standard,1,2,point_in_time_planner,1278.44,-116.4
planner_selection,2015,standard,1,2,hindsight_marginal_oracle,1931.18,536.34
planner_selection,2015,standard,1,3,legal_adp,1374.52,0.0
planner_selection,2015,standard,1,3,point_in_time_planner,1303.34,-71.18
planner_selection,2015,standard,1,3,hindsight_marginal_oracle,1950.48,575.96
planner_selection,2015,standard,1,4,legal_adp,1187.44,0.0
planner_selection,2015,standard,1,4,point_in_time_planner,1240.64,53.2
planner_selection,2015,standard,1,4,hindsight_marginal_oracle,1950.48,763.04
planner_selection,2015,standard,6,0,legal_adp,1182.74,0.0
planner_selection,2015,standard,6,0,point_in_time_planner,1318.34,135.6
planner_selection,2015,standard,6,0,hindsight_marginal_oracle,1950.48,767.74
planner_selection,2015,standard,6,1,legal_adp,1424.4,0.0
planner_selection,2015,standard,6,1,point_in_time_planner,1349.1,-75.3
planner_selection,2015,standard,6,1,hindsight_marginal_oracle,1925.48,501.08
planner_selection,2015,standard,6,2,legal_adp,1187.56,0.0
planner_selection,2015,standard,6,2,point_in_time_planner,1187.56,0.0
planner_selection,2015,standard,6,2,hindsight_marginal_oracle,1936.38,748.82
planner_selection,2015,standard,6,3,legal_adp,1331.84,0.0
planner_selection,2015,standard,6,3,point_in_time_planner,1331.84,0.0
planner_selection,2015,standard,6,3,hindsight_marginal_oracle,1939.58,607.74
planner_selection,2015,standard,6,4,legal_adp,1184.82,0.0
planner_selection,2015,standard,6,4,point_in_time_planner,1273.54,88.72
planner_selection,2015,standard,6,4,hindsight_marginal_oracle,1936.38,751.56
planner_selection,2015,standard,12,0,legal_adp,1098.52,0.0
